,name,tp,tn,fp,fn,roc,pr,best_tp,best_tn,best_fp,best_fn,best_pre,best_rec,b_f_1
0,M-6,0,1651,0,198,0.9764238386285629,0.9599489857461927,185,1651,0,13,1.0,0.9343434343434344,0.9660574412532638
1,,,,,,0.9764238386285629,0.9599489857461927,185.0,1651.0,0.0,13.0,1.0,0.9343434343434344,0.9660574412532638
2,,,,,,,,,,,,,,
